̴r,Eksport,Import,Netto
2018Q1,184140.8,164180.8,19960
2018Q2,183654,177340.5,6313.5
2018Q3,190627.9,166860.7,23767.2
2018Q4,196909,167419.4,29489.6
2019Q1,193635.9,171733,21902.9
2019Q2,200611.6,171661.3,28950.3
2019Q3,204323.6,172885.3,31438.3
2019Q4,202186.7,171183.7,31003
2020Q1,206959.6,169919.2,37040.4
2020Q2,181977.1,153998.2,27978.9
2020Q3,193948.3,164817.8,29130.5
2020Q4,196777.1,171765.2,25011.9
2021Q1,212430.9,187472.8,24958.1
2021Q2,219638.7,197278.4,22360.3
2021Q3,218181.4,197957.1,20224.3
2021Q4,233847,217300.2,16546.8
2022Q1,249815.9,226320.1,23495.8
2022Q2,253866,255026.5,-1160.5
2022Q3,274163.3,251848.7,22314.6
2022Q4,272880,242596.3,30283.7
2023Q1,276957.5,223965.4,52992.1
2023Q2,272584.5,223149.4,49435.1
2023Q3,271404.3,227323.1,44081.2
2023Q4,286398.3,224806.2,61592.1
2024Q1,280882.4,217715.8,63166.6
2024Q2,287879.1,226392,61487.1
2024Q3,295717.7,225731.5,69986.2
2024Q4,321790.4,238834.6,82955.8
2025Q1,210469.9,159043.2,51426.7