ID,LAND,TID,INDHOLD,SITC
11,Afghanistan,2018,37218,Maskiner og transportmidler
12,Afghanistan,2019,33901,Maskiner og transportmidler
13,Afghanistan,2020,33459,Maskiner og transportmidler
14,Afghanistan,2021,20493,Maskiner og transportmidler
26,Albanien,2018,9851,Maskiner og transportmidler
27,Albanien,2019,7312,Maskiner og transportmidler
28,Albanien,2020,21971,Maskiner og transportmidler
29,Albanien,2021,22619,Maskiner og transportmidler
41,Algeriet,2018,196177,Maskiner og transportmidler
42,Algeriet,2019,98610,Maskiner og transportmidler
43,Algeriet,2020,92376,Maskiner og transportmidler
44,Algeriet,2021,68409,Maskiner og transportmidler
56,Amerikansk Oceanien,2018,0,Maskiner og transportmidler
57,Amerikansk Oceanien,2019,0,Maskiner og transportmidler
58,Amerikansk Oceanien,2020,0,Maskiner og transportmidler
59,Amerikansk Oceanien,2021,0,Maskiner og transportmidler
71,Amerikansk Samoa,2018,28,Maskiner og transportmidler
72,Amerikansk Samoa,2019,1464,Maskiner og transportmidler
73,Amerikansk Samoa,2020,0,Maskiner og transportmidler
74,Amerikansk Samoa,2021,0,Maskiner og transportmidler
86,Amerikanske Jomfruøer,2018,208,Maskiner og transportmidler
87,Amerikanske Jomfruøer,2019,134,Maskiner og transportmidler
88,Amerikanske Jomfruøer,2020,346,Maskiner og transportmidler
89,Amerikanske Jomfruøer,2021,607,Maskiner og transportmidler
101,Andorra,2018,903,Maskiner og transportmidler
102,Andorra,2019,186,Maskiner og transportmidler
103,Andorra,2020,219,Maskiner og transportmidler
104,Andorra,2021,81,Maskiner og transportmidler
116,Angola,2018,31759,Maskiner og transportmidler
117,Angola,2019,57991,Maskiner og transportmidler
118,Angola,2020,54037,Maskiner og transportmidler
119,Angola,2021,42940,Maskiner og transportmidler
131,Anguilla,2018,207,Maskiner og transportmidler
132,Anguilla,2019,0,Maskiner og transportmidler
133,Anguilla,2020,0,Maskiner og transportmidler
134,Anguilla,2021,166,Maskiner og transportmidler
146,Antarktis,2018,0,Maskiner og transportmidler
147,Antarktis,2019,0,Maskiner og transportmidler
148,Antarktis,2020,0,Maskiner og transportmidler
149,Antarktis,2021,0,Maskiner og transportmidler
161,Antigua og Barbuda,2018,1707,Maskiner og transportmidler
162,Antigua og Barbuda,2019,1687,Maskiner og transportmidler
163,Antigua og Barbuda,2020,776,Maskiner og transportmidler
164,Antigua og Barbuda,2021,712,Maskiner og transportmidler
176,Argentina,2018,743019,Maskiner og transportmidler
177,Argentina,2019,487777,Maskiner og transportmidler
178,Argentina,2020,211492,Maskiner og transportmidler
179,Argentina,2021,261635,Maskiner og transportmidler
191,Armenien,2018,14065,Maskiner og transportmidler
192,Armenien,2019,30438,Maskiner og transportmidler
193,Armenien,2020,9050,Maskiner og transportmidler
194,Armenien,2021,52287,Maskiner og transportmidler
206,Aruba,2018,2494,Maskiner og transportmidler
207,Aruba,2019,1369,Maskiner og transportmidler
208,Aruba,2020,1652,Maskiner og transportmidler
209,Aruba,2021,1095,Maskiner og transportmidler
221,Aserbajdsjan,2018,31769,Maskiner og transportmidler
222,Aserbajdsjan,2019,42060,Maskiner og transportmidler
223,Aserbajdsjan,2020,30707,Maskiner og transportmidler
224,Aserbajdsjan,2021,14323,Maskiner og transportmidler
236,Australien,2018,2205273,Maskiner og transportmidler
237,Australien,2019,1876046,Maskiner og transportmidler
238,Australien,2020,1746973,Maskiner og transportmidler
239,Australien,2021,1921734,Maskiner og transportmidler
251,Australsk Oceanien,2018,0,Maskiner og transportmidler
252,Australsk Oceanien,2019,0,Maskiner og transportmidler
253,Australsk Oceanien,2020,0,Maskiner og transportmidler
254,Australsk Oceanien,2021,0,Maskiner og transportmidler
266,Bahamas,2018,56689,Maskiner og transportmidler
267,Bahamas,2019,23029,Maskiner og transportmidler
268,Bahamas,2020,21616,Maskiner og transportmidler
269,Bahamas,2021,13676,Maskiner og transportmidler
281,Bahrain,2018,39352,Maskiner og transportmidler
282,Bahrain,2019,57589,Maskiner og transportmidler
283,Bahrain,2020,63947,Maskiner og transportmidler
284,Bahrain,2021,64345,Maskiner og transportmidler
296,Bangladesh,2018,215968,Maskiner og transportmidler
297,Bangladesh,2019,137172,Maskiner og transportmidler
298,Bangladesh,2020,50355,Maskiner og transportmidler
299,Bangladesh,2021,117863,Maskiner og transportmidler
311,Barbados,2018,17879,Maskiner og transportmidler
312,Barbados,2019,15375,Maskiner og transportmidler
313,Barbados,2020,20603,Maskiner og transportmidler
314,Barbados,2021,30996,Maskiner og transportmidler
326,Belarus,2018,150043,Maskiner og transportmidler
327,Belarus,2019,115425,Maskiner og transportmidler
328,Belarus,2020,76316,Maskiner og transportmidler
329,Belarus,2021,88382,Maskiner og transportmidler
341,Belgien,2018,2930191,Maskiner og transportmidler
342,Belgien,2019,2764676,Maskiner og transportmidler
343,Belgien,2020,2660182,Maskiner og transportmidler
344,Belgien,2021,3127634,Maskiner og transportmidler
356,Belize,2018,160,Maskiner og transportmidler
357,Belize,2019,297,Maskiner og transportmidler
358,Belize,2020,2153,Maskiner og transportmidler
359,Belize,2021,1676,Maskiner og transportmidler
371,Benin,2018,71310,Maskiner og transportmidler
372,Benin,2019,17806,Maskiner og transportmidler
373,Benin,2020,17384,Maskiner og transportmidler
374,Benin,2021,10703,Maskiner og transportmidler
386,Bermuda,2018,10000,Maskiner og transportmidler
387,Bermuda,2019,41496,Maskiner og transportmidler
388,Bermuda,2020,11191,Maskiner og transportmidler
389,Bermuda,2021,8132,Maskiner og transportmidler
401,Bhutan,2018,1211,Maskiner og transportmidler
402,Bhutan,2019,3178,Maskiner og transportmidler
403,Bhutan,2020,1078,Maskiner og transportmidler
404,Bhutan,2021,2067,Maskiner og transportmidler
416,Bolivia,2018,56793,Maskiner og transportmidler
417,Bolivia,2019,23643,Maskiner og transportmidler
418,Bolivia,2020,37493,Maskiner og transportmidler
419,Bolivia,2021,21007,Maskiner og transportmidler
431,"Bonaire, Sint Eustatius og Saba",2018,723,Maskiner og transportmidler
432,"Bonaire, Sint Eustatius og Saba",2019,345,Maskiner og transportmidler
433,"Bonaire, Sint Eustatius og Saba",2020,3466,Maskiner og transportmidler
434,"Bonaire, Sint Eustatius og Saba",2021,2756,Maskiner og transportmidler
446,Bosnien-Hercegovina,2018,43338,Maskiner og transportmidler
447,Bosnien-Hercegovina,2019,42933,Maskiner og transportmidler
448,Bosnien-Hercegovina,2020,34361,Maskiner og transportmidler
449,Bosnien-Hercegovina,2021,30586,Maskiner og transportmidler
461,Botswana,2018,3262,Maskiner og transportmidler
462,Botswana,2019,3060,Maskiner og transportmidler
463,Botswana,2020,2501,Maskiner og transportmidler
464,Botswana,2021,1403,Maskiner og transportmidler
476,Bouvetøen,2018,0,Maskiner og transportmidler
477,Bouvetøen,2019,0,Maskiner og transportmidler
478,Bouvetøen,2020,0,Maskiner og transportmidler
479,Bouvetøen,2021,0,Maskiner og transportmidler
491,Brasilien,2018,790869,Maskiner og transportmidler
492,Brasilien,2019,1107724,Maskiner og transportmidler
493,Brasilien,2020,1639486,Maskiner og transportmidler
494,Brasilien,2021,1278412,Maskiner og transportmidler
506,Britisk Oceanien,2018,98,Maskiner og transportmidler
507,Britisk Oceanien,2019,12,Maskiner og transportmidler
508,Britisk Oceanien,2020,136,Maskiner og transportmidler
509,Britisk Oceanien,2021,136,Maskiner og transportmidler
521,Britiske Jomfruøer,2018,69576,Maskiner og transportmidler
522,Britiske Jomfruøer,2019,3172,Maskiner og transportmidler
523,Britiske Jomfruøer,2020,1533,Maskiner og transportmidler
524,Britiske Jomfruøer,2021,1185,Maskiner og transportmidler
536,Britiske territorium i det Indiske Ocean,2018,297,Maskiner og transportmidler
537,Britiske territorium i det Indiske Ocean,2019,971,Maskiner og transportmidler
538,Britiske territorium i det Indiske Ocean,2020,39,Maskiner og transportmidler
539,Britiske territorium i det Indiske Ocean,2021,350,Maskiner og transportmidler
551,Brunei,2018,3593,Maskiner og transportmidler
552,Brunei,2019,5087,Maskiner og transportmidler
553,Brunei,2020,6333,Maskiner og transportmidler
554,Brunei,2021,4778,Maskiner og transportmidler
566,Bulgarien,2018,228478,Maskiner og transportmidler
567,Bulgarien,2019,226443,Maskiner og transportmidler
568,Bulgarien,2020,241455,Maskiner og transportmidler
569,Bulgarien,2021,309646,Maskiner og transportmidler
581,Burkina Faso,2018,23183,Maskiner og transportmidler
582,Burkina Faso,2019,20584,Maskiner og transportmidler
583,Burkina Faso,2020,25320,Maskiner og transportmidler
584,Burkina Faso,2021,27862,Maskiner og transportmidler
596,Burundi,2018,17727,Maskiner og transportmidler
597,Burundi,2019,6939,Maskiner og transportmidler
598,Burundi,2020,6262,Maskiner og transportmidler
599,Burundi,2021,9527,Maskiner og transportmidler
611,Cambodja,2018,4826,Maskiner og transportmidler
612,Cambodja,2019,7373,Maskiner og transportmidler
613,Cambodja,2020,10686,Maskiner og transportmidler
614,Cambodja,2021,3732,Maskiner og transportmidler
626,Cameroun,2018,18246,Maskiner og transportmidler
627,Cameroun,2019,21157,Maskiner og transportmidler
628,Cameroun,2020,36719,Maskiner og transportmidler
629,Cameroun,2021,31981,Maskiner og transportmidler
641,Canada,2018,1842486,Maskiner og transportmidler
642,Canada,2019,1184426,Maskiner og transportmidler
643,Canada,2020,1402590,Maskiner og transportmidler
644,Canada,2021,886781,Maskiner og transportmidler
656,Caymanøerne,2018,1469,Maskiner og transportmidler
657,Caymanøerne,2019,2590,Maskiner og transportmidler
658,Caymanøerne,2020,2732,Maskiner og transportmidler
659,Caymanøerne,2021,2518,Maskiner og transportmidler
671,Centralafrikanske Republik,2018,12052,Maskiner og transportmidler
672,Centralafrikanske Republik,2019,23110,Maskiner og transportmidler
673,Centralafrikanske Republik,2020,9956,Maskiner og transportmidler
674,Centralafrikanske Republik,2021,25794,Maskiner og transportmidler
686,Ceuta,2018,1535,Maskiner og transportmidler
687,Ceuta,2019,1269,Maskiner og transportmidler
688,Ceuta,2020,1319,Maskiner og transportmidler
689,Ceuta,2021,1477,Maskiner og transportmidler
701,Chile,2018,495481,Maskiner og transportmidler
702,Chile,2019,545589,Maskiner og transportmidler
703,Chile,2020,457547,Maskiner og transportmidler
704,Chile,2021,526254,Maskiner og transportmidler
716,Cocosøerne,2018,0,Maskiner og transportmidler
717,Cocosøerne,2019,0,Maskiner og transportmidler
718,Cocosøerne,2020,0,Maskiner og transportmidler
719,Cocosøerne,2021,0,Maskiner og transportmidler
731,Colombia,2018,138407,Maskiner og transportmidler
732,Colombia,2019,119863,Maskiner og transportmidler
733,Colombia,2020,98800,Maskiner og transportmidler
734,Colombia,2021,143575,Maskiner og transportmidler
746,Comorerne,2018,1749,Maskiner og transportmidler
747,Comorerne,2019,2211,Maskiner og transportmidler
748,Comorerne,2020,1187,Maskiner og transportmidler
749,Comorerne,2021,1454,Maskiner og transportmidler
761,"Congo, Demokratiske Republik",2018,19259,Maskiner og transportmidler
762,"Congo, Demokratiske Republik",2019,28089,Maskiner og transportmidler
763,"Congo, Demokratiske Republik",2020,17675,Maskiner og transportmidler
764,"Congo, Demokratiske Republik",2021,11137,Maskiner og transportmidler
776,"Congo, Republikken",2018,23244,Maskiner og transportmidler
777,"Congo, Republikken",2019,6851,Maskiner og transportmidler
778,"Congo, Republikken",2020,9211,Maskiner og transportmidler
779,"Congo, Republikken",2021,12644,Maskiner og transportmidler
791,Cookøerne,2018,47,Maskiner og transportmidler
792,Cookøerne,2019,0,Maskiner og transportmidler
793,Cookøerne,2020,54,Maskiner og transportmidler
794,Cookøerne,2021,0,Maskiner og transportmidler
806,Costa Rica,2018,21867,Maskiner og transportmidler
807,Costa Rica,2019,20377,Maskiner og transportmidler
808,Costa Rica,2020,25673,Maskiner og transportmidler
809,Costa Rica,2021,73323,Maskiner og transportmidler
821,Cuba,2018,54209,Maskiner og transportmidler
822,Cuba,2019,68431,Maskiner og transportmidler
823,Cuba,2020,33823,Maskiner og transportmidler
824,Cuba,2021,29733,Maskiner og transportmidler
836,Curacao,2018,9160,Maskiner og transportmidler
837,Curacao,2019,5369,Maskiner og transportmidler
838,Curacao,2020,7492,Maskiner og transportmidler
839,Curacao,2021,5008,Maskiner og transportmidler
851,Cypern,2018,134178,Maskiner og transportmidler
852,Cypern,2019,130298,Maskiner og transportmidler
853,Cypern,2020,309120,Maskiner og transportmidler
854,Cypern,2021,130500,Maskiner og transportmidler
866,DDR,2018,0,Maskiner og transportmidler
867,DDR,2019,0,Maskiner og transportmidler
868,DDR,2020,0,Maskiner og transportmidler
869,DDR,2021,0,Maskiner og transportmidler
881,Diskretioneret,2018,0,Maskiner og transportmidler
882,Diskretioneret,2019,0,Maskiner og transportmidler
883,Diskretioneret,2020,0,Maskiner og transportmidler
884,Diskretioneret,2021,0,Maskiner og transportmidler
896,Djibouti,2018,7562,Maskiner og transportmidler
897,Djibouti,2019,23429,Maskiner og transportmidler
898,Djibouti,2020,11142,Maskiner og transportmidler
899,Djibouti,2021,5953,Maskiner og transportmidler
911,Dominica,2018,362,Maskiner og transportmidler
912,Dominica,2019,592,Maskiner og transportmidler
913,Dominica,2020,125,Maskiner og transportmidler
914,Dominica,2021,261,Maskiner og transportmidler
926,Dominikanske Republik,2018,54194,Maskiner og transportmidler
927,Dominikanske Republik,2019,38205,Maskiner og transportmidler
928,Dominikanske Republik,2020,32719,Maskiner og transportmidler
929,Dominikanske Republik,2021,505374,Maskiner og transportmidler
941,Ecuador,2018,52125,Maskiner og transportmidler
942,Ecuador,2019,229499,Maskiner og transportmidler
943,Ecuador,2020,51613,Maskiner og transportmidler
944,Ecuador,2021,39571,Maskiner og transportmidler
956,Egypten,2018,361136,Maskiner og transportmidler
957,Egypten,2019,447244,Maskiner og transportmidler
958,Egypten,2020,328686,Maskiner og transportmidler
959,Egypten,2021,381336,Maskiner og transportmidler
971,El Salvador,2018,13895,Maskiner og transportmidler
972,El Salvador,2019,8824,Maskiner og transportmidler
973,El Salvador,2020,17274,Maskiner og transportmidler
974,El Salvador,2021,15330,Maskiner og transportmidler
986,Elfenbenskysten,2018,28490,Maskiner og transportmidler
987,Elfenbenskysten,2019,32010,Maskiner og transportmidler
988,Elfenbenskysten,2020,74114,Maskiner og transportmidler
989,Elfenbenskysten,2021,33107,Maskiner og transportmidler
1001,Eritrea,2018,1677,Maskiner og transportmidler
1002,Eritrea,2019,3176,Maskiner og transportmidler
1003,Eritrea,2020,8197,Maskiner og transportmidler
1004,Eritrea,2021,2070,Maskiner og transportmidler
1016,Estland,2018,509824,Maskiner og transportmidler
1017,Estland,2019,419814,Maskiner og transportmidler
1018,Estland,2020,357135,Maskiner og transportmidler
1019,Estland,2021,545111,Maskiner og transportmidler
1031,Eswantini,2018,1061,Maskiner og transportmidler
1032,Eswantini,2019,273,Maskiner og transportmidler
1033,Eswantini,2020,734,Maskiner og transportmidler
1034,Eswantini,2021,1128,Maskiner og transportmidler
1046,Etiopien,2018,68368,Maskiner og transportmidler
1047,Etiopien,2019,66973,Maskiner og transportmidler
1048,Etiopien,2020,55137,Maskiner og transportmidler
1049,Etiopien,2021,107573,Maskiner og transportmidler
1061,Falklandsøerne,2018,8,Maskiner og transportmidler
1062,Falklandsøerne,2019,96,Maskiner og transportmidler
1063,Falklandsøerne,2020,93,Maskiner og transportmidler
1064,Falklandsøerne,2021,0,Maskiner og transportmidler
1076,Fiji,2018,3905,Maskiner og transportmidler
1077,Fiji,2019,3777,Maskiner og transportmidler
1078,Fiji,2020,6283,Maskiner og transportmidler
1079,Fiji,2021,11791,Maskiner og transportmidler
1091,Filippinerne,2018,314565,Maskiner og transportmidler
1092,Filippinerne,2019,249932,Maskiner og transportmidler
1093,Filippinerne,2020,175922,Maskiner og transportmidler
1094,Filippinerne,2021,200637,Maskiner og transportmidler
1106,Finland,2018,2656938,Maskiner og transportmidler
1107,Finland,2019,3199212,Maskiner og transportmidler
1108,Finland,2020,3166840,Maskiner og transportmidler
1109,Finland,2021,4440818,Maskiner og transportmidler
1121,Forenede Arabiske Emirater,2018,786578,Maskiner og transportmidler
1122,Forenede Arabiske Emirater,2019,998696,Maskiner og transportmidler
1123,Forenede Arabiske Emirater,2020,736837,Maskiner og transportmidler
1124,Forenede Arabiske Emirater,2021,709790,Maskiner og transportmidler
1136,Frankrig og Monaco,2018,7113326,Maskiner og transportmidler
1137,Frankrig og Monaco,2019,7284394,Maskiner og transportmidler
1138,Frankrig og Monaco,2020,7195711,Maskiner og transportmidler
1139,Frankrig og Monaco,2021,8358646,Maskiner og transportmidler
1151,Fransk Guyana,2018,0,Maskiner og transportmidler
1152,Fransk Guyana,2019,0,Maskiner og transportmidler
1153,Fransk Guyana,2020,0,Maskiner og transportmidler
1154,Fransk Guyana,2021,0,Maskiner og transportmidler
1166,Fransk Polynesien,2018,4658,Maskiner og transportmidler
1167,Fransk Polynesien,2019,5537,Maskiner og transportmidler
1168,Fransk Polynesien,2020,4150,Maskiner og transportmidler
1169,Fransk Polynesien,2021,2642,Maskiner og transportmidler
1181,Franske besiddelser i det sydlige Indiske Ocean,2018,12643,Maskiner og transportmidler
1182,Franske besiddelser i det sydlige Indiske Ocean,2019,5969,Maskiner og transportmidler
1183,Franske besiddelser i det sydlige Indiske Ocean,2020,4045,Maskiner og transportmidler
1184,Franske besiddelser i det sydlige Indiske Ocean,2021,5871,Maskiner og transportmidler
1196,Fremmede tropper i Tyskland,2018,0,Maskiner og transportmidler
1197,Fremmede tropper i Tyskland,2019,0,Maskiner og transportmidler
1198,Fremmede tropper i Tyskland,2020,0,Maskiner og transportmidler
1199,Fremmede tropper i Tyskland,2021,0,Maskiner og transportmidler
1211,Færøerne,2018,1139446,Maskiner og transportmidler
1212,Færøerne,2019,1426970,Maskiner og transportmidler
1213,Færøerne,2020,1122956,Maskiner og transportmidler
1214,Færøerne,2021,1227250,Maskiner og transportmidler
1226,Gabon,2018,5318,Maskiner og transportmidler
1227,Gabon,2019,5056,Maskiner og transportmidler
1228,Gabon,2020,3719,Maskiner og transportmidler
1229,Gabon,2021,9565,Maskiner og transportmidler
1241,Gambia,2018,8673,Maskiner og transportmidler
1242,Gambia,2019,5255,Maskiner og transportmidler
1243,Gambia,2020,5620,Maskiner og transportmidler
1244,Gambia,2021,6771,Maskiner og transportmidler
1256,Gaza og Jericho,2018,0,Maskiner og transportmidler
1257,Gaza og Jericho,2019,0,Maskiner og transportmidler
1258,Gaza og Jericho,2020,0,Maskiner og transportmidler
1259,Gaza og Jericho,2021,0,Maskiner og transportmidler
1271,Georgien,2018,18195,Maskiner og transportmidler
1272,Georgien,2019,16572,Maskiner og transportmidler
1273,Georgien,2020,15297,Maskiner og transportmidler
1274,Georgien,2021,18875,Maskiner og transportmidler
1286,Ghana,2018,125373,Maskiner og transportmidler
1287,Ghana,2019,151389,Maskiner og transportmidler
1288,Ghana,2020,157890,Maskiner og transportmidler
1289,Ghana,2021,113683,Maskiner og transportmidler
1301,Gibraltar,2018,8452,Maskiner og transportmidler
1302,Gibraltar,2019,7994,Maskiner og transportmidler
1303,Gibraltar,2020,10688,Maskiner og transportmidler
1304,Gibraltar,2021,6917,Maskiner og transportmidler
1316,Grenada,2018,374,Maskiner og transportmidler
