ID,Tid,Eksport,Import,Netto
1,2018 h1,367794.8,341521.3,26273.5
2,2018 h2,387536.9,334280.1,53256.8
3,2019 h1,394247.5,343394.3,50853.2
4,2019 h2,406510.3,344069,62441.3
5,2020 h1,388936.7,323917.4,65019.3
6,2020 h2,390725.4,336583,54142.4
7,2021 h1,432069.6,384751.2,47318.4
8,2021 h2,452028.4,415257.3,36771.1
9,2022 h1,503681.9,481346.6,22335.3
10,2022 h2,547043.3,494445,52598.3
11,2023 h1,549542,447114.8,102427.2
12,2023 h2,557802.6,452129.3,105673.3
13,2024 h1,568761.5,444107.8,124653.7
14,2024 h2,617508.1,464566.1,152942